county,sway_users,roll_matched,election_record,voted_either,pct,voted_conservative,pct_conservative
aransas,1,1,0,1,100.0,1,100.0
atascosa,2,2,0,2,100.0,2,100.0
austin,4,4,0,4,100.0,2,50.0
blanco,1,1,0,1,100.0,1,100.0
cass,1,1,0,1,100.0,1,100.0
crockett,1,1,0,1,100.0,1,100.0
frio,2,2,0,2,100.0,2,100.0
gonzales,1,1,0,1,100.0,1,100.0
hardin,4,4,0,4,100.0,4,100.0
hill,1,1,0,1,100.0,1,100.0
hopkins,1,1,0,1,100.0,1,100.0
howard,1,1,0,1,100.0,1,100.0
karnes,1,1,0,1,100.0,1,100.0
kleberg,1,1,0,1,100.0,1,100.0
lampasas,2,2,0,2,100.0,2,100.0
limestone,2,2,1,2,100.0,2,100.0
maverick,1,1,0,1,100.0,1,100.0
mitchell,1,1,0,1,100.0,1,100.0
moore,2,2,0,2,100.0,2,100.0
presidio,1,1,0,1,100.0,1,100.0
runnels,1,1,0,1,100.0,1,100.0
sabine,1,1,0,1,100.0,1,100.0
starr,3,3,0,3,100.0,3,100.0
tyler,1,1,0,1,100.0,1,100.0
vanzandt,1,1,0,1,100.0,1,100.0
walker,1,1,0,1,100.0,1,100.0
wood,1,1,0,1,100.0,1,100.0
jefferson,14,13,0,13,92.9,13,92.9
cameron,42,36,2,36,85.7,36,85.7
kendall,7,6,1,6,85.7,6,85.7
hidalgo,151,126,7,127,84.1,127,84.1
orange,6,5,0,5,83.3,5,83.3
caldwell,5,4,0,4,80.0,4,80.0
grimes,5,4,1,4,80.0,4,80.0
rockwall,10,8,0,8,80.0,8,80.0
dallas,611,467,23,470,76.9,469,76.8
hays,80,60,3,61,76.2,61,76.2
cherokee,4,3,0,3,75.0,3,75.0
taylor,15,11,0,11,73.3,11,73.3
brazoria,141,101,11,103,73.0,103,73.0
tarrant,435,314,18,315,72.4,306,70.3
harris,1547,1100,113,1118,72.3,1105,71.4
fortbend,297,206,30,212,71.4,208,70.0
montgomery,104,73,4,74,71.2,72,69.2
travis,448,313,19,315,70.3,315,70.3
galveston,33,23,0,23,69.7,23,69.7
bexar,322,215,6,216,67.1,214,66.5
bandera,3,2,0,2,66.7,2,66.7
ector,3,2,0,2,66.7,2,66.7
elpaso,81,54,3,54,66.7,54,66.7
hood,3,2,0,2,66.7,2,66.7
lubbock,24,16,1,16,66.7,16,66.7
milam,3,2,0,2,66.7,2,66.7
rusk,3,2,0,2,66.7,2,66.7
waller,15,10,2,10,66.7,10,66.7
denton,214,140,5,141,65.9,141,65.9
williamson,176,116,4,116,65.9,116,65.9
liberty,8,5,1,5,62.5,5,62.5
webb,17,10,1,10,58.8,10,58.8
bastrop,12,6,1,7,58.3,7,58.3
bell,36,20,1,21,58.3,21,58.3
mclennan,30,17,0,17,56.7,17,56.7
brazos,23,13,0,13,56.5,13,56.5
johnson,22,12,0,12,54.5,12,54.5
ellis,39,21,4,21,53.8,21,53.8
collin,244,128,7,130,53.3,124,50.8
archer,4,2,1,2,50.0,1,25.0
bee,2,1,0,1,50.0,1,50.0
burnet,4,2,0,2,50.0,2,50.0
comanche,2,1,1,1,50.0,1,50.0
cooke,2,1,0,1,50.0,1,50.0
coryell,4,2,0,2,50.0,2,50.0
kaufman,28,14,0,14,50.0,14,50.0
lamar,4,2,0,2,50.0,2,50.0
midland,2,1,0,1,50.0,1,50.0
potter,4,2,0,2,50.0,2,50.0
sanjacinto,2,1,0,1,50.0,1,50.0
upshur,2,1,1,1,50.0,1,50.0
uvalde,2,1,0,1,50.0,1,50.0
washington,2,1,0,1,50.0,1,50.0
wichita,6,3,0,3,50.0,3,50.0
comal,21,10,0,10,47.6,10,47.6
henderson,7,3,0,3,42.9,3,42.9
guadalupe,31,13,0,13,41.9,13,41.9
nacogdoches,5,2,0,2,40.0,2,40.0
victoria,5,2,0,2,40.0,2,40.0
randall,8,3,0,3,37.5,3,37.5
grayson,11,4,0,4,36.4,4,36.4
smith,17,6,0,6,35.3,6,35.3
fannin,3,1,0,1,33.3,1,33.3
fayette,3,1,0,1,33.3,1,33.3
hunt,9,3,1,3,33.3,3,33.3
tomgreen,6,2,0,2,33.3,2,33.3
gregg,7,2,0,2,28.6,2,28.6
bowie,4,1,0,1,25.0,1,25.0
parker,8,2,0,2,25.0,2,25.0
angelina,5,1,0,1,20.0,1,20.0
kerr,6,1,0,1,16.7,1,16.7
nueces,21,1,0,1,4.8,1,4.8
brown,3,0,0,0,0.0,0,0.0
burleson,1,0,0,0,0.0,0,0.0
coke,1,0,0,0,0.0,0,0.0
colorado,1,0,0,0,0.0,0,0.0
dewitt,1,0,0,0,0.0,0,0.0
duval,1,0,0,0,0.0,0,0.0
gillespie,4,0,0,0,0.0,0,0.0
gray,1,0,0,0,0.0,0,0.0
hale,1,0,0,0,0.0,0,0.0
harrison,2,0,0,0,0.0,0,0.0
jones,3,0,0,0,0.0,0,0.0
lamb,1,0,0,0,0.0,0,0.0
leon,1,0,0,0,0.0,0,0.0
liveoak,1,0,0,0,0.0,0,0.0
llano,1,0,0,0,0.0,0,0.0
navarro,2,0,0,0,0.0,0,0.0
polk,3,0,0,0,0.0,0,0.0
sanpatricio,3,0,0,0,0.0,0,0.0
scurry,1,0,0,0,0.0,0,0.0
wharton,1,0,0,0,0.0,0,0.0
wilson,2,0,0,0,0.0,0,0.0
wise,2,0,0,0,0.0,0,0.0
